n_sentences,batch_size,avg_len,max_len,generation_method,masked_portion,max_iter,std_len,init_mask_prob,temperature,sample,top_k,mean_tbc,std_tbc,mean_wiki,std_wiki,count
50,10,40,50,attention,1,100,0,0,0.1,False,0,0.038,0.003,0.049,0.006,5
50,10,40,50,attention,1,100,0,0,0.1,True,0,0.039,0.004,0.051,0.004,5
50,10,40,50,attention,1,100,0,0,0.1,True,100,0.041,0.004,0.049,0.006,5
50,10,40,50,attention,1,100,0,0,1,False,0,0.041,0.005,0.050,0.007,5
50,10,40,50,attention,1,100,0,0,1,True,0,0.019,0.000,0.020,0.001,5
50,10,40,50,attention,1,100,0,0,1,True,100,0.028,0.003,0.034,0.002,5
50,10,40,50,attention,1,100,0,0,10,False,0,0.039,0.002,0.048,0.001,5
50,10,40,50,attention,1,100,0,0,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,attention,1,100,0,0,10,True,100,0.017,0.001,0.018,0.000,5
50,10,40,50,attention,1,100,0,1,0.1,False,0,0.101,0.013,0.061,0.005,5
50,10,40,50,attention,1,100,0,1,0.1,True,0,0.097,0.020,0.063,0.006,5
50,10,40,50,attention,1,100,0,1,0.1,True,100,0.099,0.013,0.056,0.004,5
50,10,40,50,attention,1,100,0,1,1,False,0,0.107,0.023,0.062,0.002,5
50,10,40,50,attention,1,100,0,1,1,True,0,0.044,0.005,0.045,0.003,5
50,10,40,50,attention,1,100,0,1,1,True,100,0.075,0.006,0.063,0.003,5
50,10,40,50,attention,1,100,0,1,10,False,0,0.109,0.020,0.064,0.002,5
50,10,40,50,attention,1,100,0,1,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,attention,1,100,0,1,10,True,100,0.028,0.001,0.026,0.001,5
50,10,40,50,attention,1,100,5,0,0.1,False,0,0.041,0.002,0.051,0.004,5
50,10,40,50,attention,1,100,5,0,0.1,True,0,0.041,0.003,0.049,0.003,5
50,10,40,50,attention,1,100,5,0,0.1,True,100,0.041,0.003,0.054,0.005,5
50,10,40,50,attention,1,100,5,0,1,False,0,0.042,0.005,0.052,0.005,5
50,10,40,50,attention,1,100,5,0,1,True,0,0.018,0.001,0.020,0.001,5
50,10,40,50,attention,1,100,5,0,1,True,100,0.028,0.004,0.033,0.004,5
50,10,40,50,attention,1,100,5,0,10,False,0,0.044,0.004,0.052,0.003,5
50,10,40,50,attention,1,100,5,0,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,attention,1,100,5,0,10,True,100,0.017,0.001,0.019,0.001,5
50,10,40,50,attention,1,100,5,1,0.1,False,0,0.088,0.013,0.061,0.005,5
50,10,40,50,attention,1,100,5,1,0.1,True,0,0.086,0.015,0.066,0.009,5
50,10,40,50,attention,1,100,5,1,0.1,True,100,0.113,0.018,0.067,0.009,5
50,10,40,50,attention,1,100,5,1,1,False,0,0.089,0.014,0.064,0.012,5
50,10,40,50,attention,1,100,5,1,1,True,0,0.046,0.004,0.051,0.006,5
50,10,40,50,attention,1,100,5,1,1,True,100,0.063,0.011,0.058,0.004,5
50,10,40,50,attention,1,100,5,1,10,False,0,0.093,0.009,0.059,0.008,5
50,10,40,50,attention,1,100,5,1,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,attention,1,100,5,1,10,True,100,0.029,0.001,0.026,0.001,5
50,10,40,50,attention,1,500,0,0,0.1,False,0,0.053,0.004,0.068,0.004,5
50,10,40,50,attention,1,500,0,0,0.1,True,0,0.056,0.008,0.070,0.006,5
50,10,40,50,attention,1,500,0,0,0.1,True,100,0.052,0.002,0.070,0.005,5
50,10,40,50,attention,1,500,0,0,1,False,0,0.050,0.003,0.071,0.006,5
50,10,40,50,attention,1,500,0,0,1,True,0,0.036,0.002,0.040,0.003,5
50,10,40,50,attention,1,500,0,0,1,True,100,0.044,0.003,0.051,0.004,5
50,10,40,50,attention,1,500,0,0,10,False,0,0.056,0.008,0.071,0.010,5
50,10,40,50,attention,1,500,0,0,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,attention,1,500,0,0,10,True,100,0.019,0.001,0.019,0.000,5
50,10,40,50,attention,1,500,0,1,0.1,False,0,0.138,0.024,0.054,0.004,5
50,10,40,50,attention,1,500,0,1,0.1,True,0,0.116,0.021,0.063,0.009,5
50,10,40,50,attention,1,500,0,1,0.1,True,100,0.113,0.019,0.057,0.005,5
50,10,40,50,attention,1,500,0,1,1,False,0,0.122,0.025,0.056,0.006,5
50,10,40,50,attention,1,500,0,1,1,True,0,0.057,0.006,0.060,0.003,5
50,10,40,50,attention,1,500,0,1,1,True,100,0.077,0.006,0.057,0.005,5
50,10,40,50,attention,1,500,0,1,10,False,0,0.119,0.010,0.055,0.006,5
50,10,40,50,attention,1,500,0,1,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,attention,1,500,0,1,10,True,100,0.026,0.001,0.023,0.001,5
50,10,40,50,attention,1,500,5,0,0.1,False,0,0.055,0.004,0.069,0.006,5
50,10,40,50,attention,1,500,5,0,0.1,True,0,0.054,0.004,0.068,0.007,5
50,10,40,50,attention,1,500,5,0,0.1,True,100,0.054,0.004,0.067,0.004,5
50,10,40,50,attention,1,500,5,0,1,False,0,0.056,0.006,0.071,0.005,5
50,10,40,50,attention,1,500,5,0,1,True,0,0.034,0.004,0.039,0.004,5
50,10,40,50,attention,1,500,5,0,1,True,100,0.042,0.004,0.052,0.003,5
50,10,40,50,attention,1,500,5,0,10,False,0,0.052,0.007,0.071,0.007,5
50,10,40,50,attention,1,500,5,0,10,True,0,0.009,0.001,0.010,0.001,5
50,10,40,50,attention,1,500,5,0,10,True,100,0.018,0.002,0.020,0.001,5
50,10,40,50,attention,1,500,5,1,0.1,False,0,0.111,0.039,0.059,0.007,5
50,10,40,50,attention,1,500,5,1,0.1,True,0,0.103,0.042,0.059,0.005,5
50,10,40,50,attention,1,500,5,1,0.1,True,100,0.102,0.023,0.061,0.008,5
50,10,40,50,attention,1,500,5,1,1,False,0,0.092,0.008,0.061,0.003,5
50,10,40,50,attention,1,500,5,1,1,True,0,0.051,0.005,0.058,0.006,5
50,10,40,50,attention,1,500,5,1,1,True,100,0.081,0.017,0.061,0.005,5
50,10,40,50,attention,1,500,5,1,10,False,0,0.117,0.034,0.055,0.008,5
50,10,40,50,attention,1,500,5,1,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,attention,1,500,5,1,10,True,100,0.025,0.002,0.022,0.001,5
