n_sentences,batch_size,avg_len,max_len,generation_method,masked_portion,max_iter,std_len,init_mask_prob,temperature,sample,top_k,mean_tbc,std_tbc,mean_wiki,std_wiki,count
50,10,40,50,parallel,0.15,100,0,0,0.1,False,0,0.048,0.004,0.059,0.008,5
50,10,40,50,parallel,0.15,100,0,0,0.1,True,0,0.051,0.005,0.061,0.007,5
50,10,40,50,parallel,0.15,100,0,0,0.1,True,100,0.052,0.006,0.065,0.002,5
50,10,40,50,parallel,0.15,100,0,0,1,False,0,0.048,0.003,0.061,0.005,5
50,10,40,50,parallel,0.15,100,0,0,1,True,0,0.027,0.001,0.028,0.002,5
50,10,40,50,parallel,0.15,100,0,0,1,True,100,0.038,0.006,0.044,0.002,5
50,10,40,50,parallel,0.15,100,0,0,10,False,0,0.049,0.005,0.063,0.008,5
50,10,40,50,parallel,0.15,100,0,0,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,parallel,0.15,100,0,0,10,True,100,0.020,0.001,0.021,0.001,5
50,10,40,50,parallel,0.15,100,0,1,0.1,False,0,0.104,0.051,0.066,0.036,5
50,10,40,50,parallel,0.15,100,0,1,0.1,True,0,0.129,0.045,0.055,0.005,5
50,10,40,50,parallel,0.15,100,0,1,0.1,True,100,0.118,0.056,0.063,0.008,5
50,10,40,50,parallel,0.15,100,0,1,1,False,0,0.170,0.149,0.065,0.013,5
50,10,40,50,parallel,0.15,100,0,1,1,True,0,0.050,0.005,0.052,0.004,5
50,10,40,50,parallel,0.15,100,0,1,1,True,100,0.075,0.007,0.067,0.005,5
50,10,40,50,parallel,0.15,100,0,1,10,False,0,0.118,0.097,0.080,0.024,5
50,10,40,50,parallel,0.15,100,0,1,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,parallel,0.15,100,0,1,10,True,100,0.030,0.001,0.029,0.001,5
50,10,40,50,parallel,0.15,100,5,0,0.1,False,0,0.051,0.007,0.061,0.002,5
50,10,40,50,parallel,0.15,100,5,0,0.1,True,0,0.047,0.003,0.057,0.006,5
50,10,40,50,parallel,0.15,100,5,0,0.1,True,100,0.046,0.004,0.058,0.005,5
50,10,40,50,parallel,0.15,100,5,0,1,False,0,0.048,0.001,0.060,0.002,5
50,10,40,50,parallel,0.15,100,5,0,1,True,0,0.026,0.002,0.030,0.003,5
50,10,40,50,parallel,0.15,100,5,0,1,True,100,0.037,0.005,0.041,0.003,5
50,10,40,50,parallel,0.15,100,5,0,10,False,0,0.049,0.006,0.056,0.004,5
50,10,40,50,parallel,0.15,100,5,0,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,parallel,0.15,100,5,0,10,True,100,0.021,0.001,0.022,0.002,5
50,10,40,50,parallel,0.15,100,5,1,0.1,False,0,0.098,0.053,0.059,0.017,5
50,10,40,50,parallel,0.15,100,5,1,0.1,True,0,0.139,0.062,0.065,0.012,5
50,10,40,50,parallel,0.15,100,5,1,0.1,True,100,0.075,0.034,0.069,0.012,5
50,10,40,50,parallel,0.15,100,5,1,1,False,0,0.098,0.070,0.066,0.014,5
50,10,40,50,parallel,0.15,100,5,1,1,True,0,0.052,0.003,0.054,0.002,5
50,10,40,50,parallel,0.15,100,5,1,1,True,100,0.074,0.008,0.069,0.004,5
50,10,40,50,parallel,0.15,100,5,1,10,False,0,0.114,0.066,0.050,0.022,5
50,10,40,50,parallel,0.15,100,5,1,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,parallel,0.15,100,5,1,10,True,100,0.030,0.000,0.029,0.001,5
50,10,40,50,parallel,0.15,500,0,0,0.1,False,0,0.052,0.003,0.069,0.005,5
50,10,40,50,parallel,0.15,500,0,0,0.1,True,0,0.054,0.005,0.071,0.006,5
50,10,40,50,parallel,0.15,500,0,0,0.1,True,100,0.053,0.006,0.075,0.006,5
50,10,40,50,parallel,0.15,500,0,0,1,False,0,0.060,0.007,0.074,0.006,5
50,10,40,50,parallel,0.15,500,0,0,1,True,0,0.048,0.004,0.062,0.002,5
50,10,40,50,parallel,0.15,500,0,0,1,True,100,0.052,0.005,0.068,0.006,5
50,10,40,50,parallel,0.15,500,0,0,10,False,0,0.057,0.004,0.069,0.004,5
50,10,40,50,parallel,0.15,500,0,0,10,True,0,0.009,0.000,0.010,0.000,5
