n_sentences,batch_size,avg_len,max_len,generation_method,masked_portion,max_iter,std_len,init_mask_prob,temperature,sample,top_k,mean_tbc,std_tbc,mean_wiki,std_wiki,count
50,10,40,50,sequential,1,100,0,0,0.1,False,0,0.067,0.003,0.077,0.008,5
50,10,40,50,sequential,1,100,0,0,0.1,True,0,0.065,0.004,0.069,0.007,5
50,10,40,50,sequential,1,100,0,0,0.1,True,100,0.058,0.004,0.068,0.003,5
50,10,40,50,sequential,1,100,0,0,1,False,0,0.064,0.004,0.071,0.004,5
50,10,40,50,sequential,1,100,0,0,1,True,0,0.033,0.002,0.039,0.003,5
50,10,40,50,sequential,1,100,0,0,1,True,100,0.053,0.004,0.059,0.003,5
50,10,40,50,sequential,1,100,0,0,10,False,0,0.064,0.005,0.071,0.007,5
50,10,40,50,sequential,1,100,0,0,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,sequential,1,100,0,0,10,True,100,0.022,0.001,0.023,0.000,5
50,10,40,50,sequential,1,100,0,1,0.1,False,0,0.020,0.000,0.122,0.000,5
50,10,40,50,sequential,1,100,0,1,0.1,True,0,0.163,0.024,0.057,0.003,5
50,10,40,50,sequential,1,100,0,1,0.1,True,100,0.144,0.009,0.056,0.005,5
50,10,40,50,sequential,1,100,0,1,1,False,0,0.020,0.000,0.122,0.000,5
50,10,40,50,sequential,1,100,0,1,1,True,0,0.064,0.010,0.048,0.004,5
50,10,40,50,sequential,1,100,0,1,1,True,100,0.119,0.018,0.054,0.005,5
50,10,40,50,sequential,1,100,0,1,10,False,0,0.020,0.000,0.122,0.000,5
50,10,40,50,sequential,1,100,0,1,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,sequential,1,100,0,1,10,True,100,0.029,0.001,0.028,0.001,5
50,10,40,50,sequential,1,100,5,0,0.1,False,0,0.063,0.001,0.070,0.010,5
50,10,40,50,sequential,1,100,5,0,0.1,True,0,0.065,0.005,0.074,0.007,5
50,10,40,50,sequential,1,100,5,0,0.1,True,100,0.062,0.006,0.078,0.014,5
50,10,40,50,sequential,1,100,5,0,1,False,0,0.062,0.008,0.072,0.011,5
50,10,40,50,sequential,1,100,5,0,1,True,0,0.033,0.003,0.037,0.004,5
50,10,40,50,sequential,1,100,5,0,1,True,100,0.048,0.002,0.053,0.003,5
50,10,40,50,sequential,1,100,5,0,10,False,0,0.066,0.004,0.080,0.009,5
50,10,40,50,sequential,1,100,5,0,10,True,0,0.008,0.000,0.009,0.001,5
50,10,40,50,sequential,1,100,5,0,10,True,100,0.024,0.001,0.024,0.001,5
50,10,40,50,sequential,1,100,5,1,0.1,False,0,0.102,0.046,0.057,0.021,5
50,10,40,50,sequential,1,100,5,1,0.1,True,0,0.152,0.027,0.049,0.006,5
50,10,40,50,sequential,1,100,5,1,0.1,True,100,0.130,0.027,0.053,0.004,5
50,10,40,50,sequential,1,100,5,1,1,False,0,0.094,0.012,0.052,0.015,5
50,10,40,50,sequential,1,100,5,1,1,True,0,0.069,0.015,0.045,0.003,5
