the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
the first two lines are : : : : : : : : : : : : :,, : : :,,,,,,,,,,,,,,, respectively.
